BACKFILL cmu1exu87003kf62201rrtpvv 2200000 | memo="Backfill sổ cũ · đơn ORD--CS1--24-7" | sach=BACKFILLSOCUDONORDCS1247 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu84003jf622zb59r645(ORDCS1247D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu8h003qf62254tkopvv 5200000 | memo="Backfill sổ cũ · đơn ORD--CS1--26-7" | sach=BACKFILLSOCUDONORDCS1267 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu8f003pf622bp8eff3n(ORDCS1267D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu8q003uf622bkdnyk03 2400000 | memo="Backfill sổ cũ · đơn ORD--CS2--19-1" | sach=BACKFILLSOCUDONORDCS2191 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu8n003tf62242zftw6j(ORDCS2191D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu940044f622tdtfzp2a 4400000 | memo="Backfill sổ cũ · đơn ORD--CS2--20-1" | sach=BACKFILLSOCUDONORDCS2201 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu920043f622ccqco33d(ORDCS2201D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu8u003xf622nlb5ciwe 5320000 | memo="Backfill sổ cũ · đơn ORD--CS1--17-6" | sach=BACKFILLSOCUDONORDCS1176 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu8s003wf6226avm9f62(ORDCS1176D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu8z0041f6227ocianq1 4400000 | memo="Backfill sổ cũ · đơn ORD--CS2--20-2" | sach=BACKFILLSOCUDONORDCS2202 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu8x0040f62220izni7u(ORDCS2202D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu9h004df622bvauiuhp 4180000 | memo="Backfill sổ cũ · đơn ORD--CS1--24-5" | sach=BACKFILLSOCUDONORDCS1245 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu9f004cf622vtewnwnb(ORDCS1245D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu9m004gf622mxpqe7pu 4400000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-1" | sach=BACKFILLSOCUDONORDCS1161 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu9j004ff622kwwvtu73(ORDCS1161D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu9s004jf622j9pzd6zi 4800000 | memo="Backfill sổ cũ · đơn ORD--CS2--19-3" | sach=BACKFILLSOCUDONORDCS2193 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu9p004if622lmdix0xp(ORDCS2193D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu980047f622zx3803xi 3360000 | memo="Backfill sổ cũ · đơn ORD--CS1--17-5" | sach=BACKFILLSOCUDONORDCS1175 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu960046f6220s7z951m(ORDCS1175D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu9d004af622oyjckjzt 4420000 | memo="Backfill sổ cũ · đơn ORD--CS1--26-3" | sach=BACKFILLSOCUDONORDCS1263 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu9b0049f622xzp96o9x(ORDCS1263D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu9y004nf622drszzmap 1320000 | memo="Backfill sổ cũ · đơn ORD--CS1--24-8" | sach=BACKFILLSOCUDONORDCS1248 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu9w004mf62272u0jt5g(ORDCS1248D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exua5004qf622goekis5o 2244000 | memo="Backfill sổ cũ · đơn ORD--CS2--20-6" | sach=BACKFILLSOCUDONORDCS2206 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exua1004pf622g60cbh5s(ORDCS2206D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exuai004wf622ros18rwe 4400000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-9" | sach=BACKFILLSOCUDONORDCS1169 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exuac004vf622b8x9832c(ORDCS1169D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exuaa004tf6227lu9bseo 4420000 | memo="Backfill sổ cũ · đơn ORD--CS1--26-4" | sach=BACKFILLSOCUDONORDCS1264 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exua8004sf622gjsbt7be(ORDCS1264D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exuaq004zf6222vm1mzhy 5200000 | memo="Backfill sổ cũ · đơn ORD--CS2--22-4" | sach=BACKFILLSOCUDONORDCS2224 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exual004yf622mjoeegoe(ORDCS2224D0)] | KHAC(parser bỏ sót)
